Scenario,Lifetime_Years,USD_per_100kg
520W Setup,6.105527638190955,3.950077176545521
520W Setup,6.180904522613065,3.924801483608762
520W Setup,6.256281407035175,3.9001348435138516
520W Setup,6.331658291457286,3.8760555043735825
520W Setup,6.407035175879397,3.8525427379189665
520W Setup,6.482412060301507,3.8295767799865508
520W Setup,6.557788944723617,3.8071387751100527
520W Setup,6.633165829145728,3.7852107248898386
520W Setup,6.708542713567839,3.7637754398431125
520W Setup,6.783919597989949,3.742816494464092
520W Setup,6.859296482412059,3.722318185247247
520W Setup,6.93467336683417,3.7022654914481605
520W Setup,7.010050251256281,3.6826440383759347
520W Setup,7.085427135678391,3.6634400630286508
520W Setup,7.160804020100501,3.644640381899204
520W Setup,7.236180904522612,3.6262323607932876
520W Setup,7.311557788944723,3.6082038865142967
520W Setup,7.3869346733668335,3.5905433402818168
520W Setup,7.462311557788944,3.573239572761104
520W Setup,7.537688442211055,3.556281880590805
520W Setup,7.613065326633166,3.5396599843050662
520W Setup,7.688442211055276,3.5233640075543424
520W Setup,7.763819095477386,3.5073844575366424
520W Setup,7.839195979899497,3.491712206557745
520W Setup,7.914572864321608,3.4763384746451105
520W Setup,7.989949748743718,3.461254813145923
520W Setup,8.065326633165828,3.4464530892448515
520W Setup,8.140703517587939,3.4319254713419474
520W Setup,8.21608040201005,3.4176644152354267
520W Setup,8.29145728643216,3.4036626510581165
520W Setup,8.36683417085427,3.3899131709200363
520W Setup,8.442211055276381,3.3764092172129936
520W Setup,8.517587939698492,3.363144271536163
520W Setup,8.592964824120603,3.3501120442045407
520W Setup,8.668341708542712,3.337306464304773
520W Setup,8.743718592964823,3.3247216702653453
520W Setup,8.819095477386934,3.3123520009103538
520W Setup,8.894472361809044,3.3001919869681577
520W Setup,8.969849246231155,3.2882363430081827
520W Setup,9.045226130653266,3.2764799597808754
520W Setup,9.120603015075377,3.2649178969374897
520W Setup,9.195979899497488,3.2535453761079305
520W Setup,9.271356783919597,3.2423577743162495
520W Setup,9.346733668341708,3.2313506177147575
520W Setup,9.422110552763819,3.2205195756188894
520W Setup,9.497487437185928,3.20986045482613
520W Setup,9.572864321608039,3.199369194203335
520W Setup,9.64824120603015,3.189041859527772
520W Setup,9.72361809045226,3.1788746385681095
520W Setup,9.798994974874372,3.1688638363924406
520W Setup,9.874371859296481,3.15900587089121
520W Setup,9.949748743718592,3.1492972685036342
520W Setup,10.025125628140703,3.1397346601369245
520W Setup,10.100502512562812,3.130314777268225
520W Setup,10.175879396984923,3.121034448219803
520W Setup,10.251256281407034,3.111890594598563
520W Setup,10.326633165829145,3.102880227891503
520W Setup,10.402010050251256,3.0940004462091815
520W Setup,10.477386934673365,3.0852484311697723
520W Setup,10.552763819095476,3.07662144491664
520W Setup,10.628140703517587,3.068116827262842
520W Setup,10.703517587939697,3.059731992956282
520W Setup,10.778894472361808,3.051464429059603
520W Setup,10.854271356783919,3.043311692439267
520W Setup,10.92964824120603,3.035271407358522
